stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,probe_keyResp.rt,probe_keyResp.duration,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,Debrief.started,Debrief.stopped,debrief_keyResp.keys,debrief_keyResp.rt,debrief_keyResp.duration
4,0.0003,5539.4387,space,5539.4134,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,5539.4393,5551.4048,space,11.8373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,5551.405,5554.5878,space,3.0574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,5554.588,5561.0055,space,6.2863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,5561.0057,5571.7892,space,10.6454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,5571.7895,5591.6402,space,19.7157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,5591.6403,5594.4558,return,2.7888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5594.456,5599.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5599.4661,5601.4572,5601.4575,5603.4572,5603.4589,5605.4573,5605.4576,5609.4574,5609.4582,5611.4579,,5611.4587,5615.4567,0,0,0,4,1,fruits,places,replace,faces,left,prac_5,novel,practice,4,0,stimuli/images/fruits/sliced_honeydew.png,stimuli/images/places/supreme_court.png,stimuli/images/faces/willie_nelson.png,stimuli/images/fruits/apple03a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4985449854,maintask,2025-09-12_11h29.03.361,remlure_online,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615.4581,5617.4566,5617.4567,5619.4567,5619.4574,5621.4567,5621.4568,5625.4582,5625.4587,5627.4582,,5627.4587,5630.4582,0,1,1,0,1,faces,places,maintain,,left,prac_1,cued,practice,3,0,stimuli/images/faces/michael_phelps.png,stimuli/images/places/river_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/michael_phelps.png,,,,,,,,,,,,,,,,,,,,,,,,,
