stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,probe_keyResp.rt,probe_keyResp.duration,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,Debrief.started,Debrief.stopped,debrief_keyResp.keys,debrief_keyResp.rt,debrief_keyResp.duration
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.987,328.9862,328.9862,330.9863,330.9872,332.9864,332.9865,336.9862,336.987,338.9361,j,338.9363,342.9362,0,3,3,4,1,fruits,places,replace,faces,left,prac_5,novel,practice,4,0,stimuli/images/fruits/sliced_honeydew.png,stimuli/images/places/supreme_court.png,stimuli/images/faces/willie_nelson.png,stimuli/images/fruits/apple03a.png,1.8698,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9373,344.9363,344.9364,346.9321,346.9328,348.9314,348.9315,352.9322,352.9328,354.9318,,354.9324,358.9322,0,4,4,1,1,faces,fruits,maintain,,left,prac_2,novel,practice,4,0,stimuli/images/faces/sandra_bullock.png,stimuli/images/fruits/fresh_red_apple.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/pear04.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.9333,360.9321,360.9322,362.932,362.9327,364.932,364.9321,368.932,368.9328,370.9322,,370.9327,375.9323,0,5,5,5,1,places,faces,replace,fruits,right,prac_6,replacement,practice,5,0,stimuli/images/places/japanese_castle.png,stimuli/images/faces/queen_elizabeth_with_crown.png,stimuli/images/fruits/half_apple.png,stimuli/images/fruits/half_apple.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.9329,378.7493,space,2.8015,,,,,,,,,,,,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.7495,381.7903,return,3.0289,,,,,,,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.7903,386.7905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.8025,388.799,388.7991,390.7986,390.799,392.7991,392.7991,396.7988,396.7992,398.2739,j,398.2743,401.2739,,,,,,faces,places,maintain,NA,left,1,uncued,1,3,0,stimuli/images/faces/mila_kunis.png,stimuli/images/places/mount_everest.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/mount_everest.png,1.4602,,,,,,,,,,,,0,0,0,0,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.2755,403.2738,403.2739,405.273,405.2737,407.2739,407.274,411.2738,411.2745,413.2739,,413.2745,417.2696,,,,,,faces,places,maintain,NA,right,2,uncued,1,4,0,stimuli/images/faces/george_clooney.png,stimuli/images/places/mount_fuji.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/george_clooney.png,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.2711,419.2696,419.2698,421.2687,421.2694,423.2698,423.2699,427.2694,427.27,428.2532,f,428.2534,432.2531,,,,,,faces,places,suppress,NA,left,3,uncued,1,4,0,stimuli/images/faces/macklemore.png,stimuli/images/places/royal_albert_hall.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/royal_albert_hall.png,0.9636,,,,,,,,,,,,0,2,2,2,1,,,,,,,,
,,,,,,5033750337,maintask,2025-09-14_15h09.35.807,remlure_online,2024.2.2,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.254,434.2526,434.2526,436.2531,436.2536,438.2532,438.2533,442.253,442.2535,443.7946,j,443.7947,448.7945,,,,,,faces,places,suppress,NA,right,4,lure,1,5,0,stimuli/images/faces/brad_pitt.png,stimuli/images/places/aoraki.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/aoraki.png,1.5283,,,,,,,,,,,,0,3,3,3,1,,,,,,,,
