stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,probe_keyResp.rt,probe_keyResp.duration,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,Debrief.started,Debrief.stopped,debrief_keyResp.keys,debrief_keyResp.rt,debrief_keyResp.duration
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.4259,281.4211,281.4212,283.4209,283.4223,285.4224,285.4224,289.4227,289.4239,290.5752,f,1.0888,,290.5758,293.5803,0,3,3,2,1,places,fruits,suppress,,right,prac_3,uncued,practice,3,0,stimuli/images/places/pink_sand_beach.png,stimuli/images/fruits/muskmelon02.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/pink_sand_beach.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.5826,295.5724,295.5724,297.5741,297.575,299.5626,299.5627,303.5586,303.5598,304.7723,j,1.1809,,304.7735,308.7795,0,4,4,1,1,faces,fruits,maintain,,left,prac_2,novel,practice,4,0,stimuli/images/faces/sandra_bullock.png,stimuli/images/fruits/fresh_red_apple.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/pear04.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.7814,310.7721,310.7727,312.7707,312.7717,314.7582,314.7582,318.7534,318.754,320.7532,,,,320.7538,324.7534,0,5,5,4,1,fruits,places,replace,faces,left,prac_5,novel,practice,4,0,stimuli/images/fruits/sliced_honeydew.png,stimuli/images/places/supreme_court.png,stimuli/images/faces/willie_nelson.png,stimuli/images/fruits/apple03a.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.7542,333.3109,space,8.5423,,,,,,,,,,,,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.3112,339.82,return,6.4896,,,,,,,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.8201,344.8219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.8463,346.8369,346.8371,348.8364,348.8375,350.8383,350.8384,354.8285,354.8291,356.0867,j,1.039,,356.087,359.0881,,,,,,faces,places,maintain,NA,left,1,uncued,1,3,0,stimuli/images/faces/ryan_reynolds.png,stimuli/images/places/unique_mountains.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/unique_mountains.png,,,,,,,,,,,0,0,0,0,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.0918,361.0884,361.0884,363.0869,363.0883,365.0752,365.0753,369.07,369.0707,370.4402,j,1.3498,,370.4405,374.442,,,,,,faces,places,maintain,NA,right,2,uncued,1,4,0,stimuli/images/faces/brad_pitt.png,stimuli/images/places/mediterranean_beach.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/brad_pitt.png,,,,,,,,,,,0,1,1,1,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.4439,376.4376,376.4377,378.4379,378.4397,380.4382,380.4383,384.438,384.4396,385.2221,f,0.7492,,385.2225,389.2204,,,,,,faces,places,suppress,NA,left,3,uncued,1,4,0,stimuli/images/faces/justin_bieber.png,stimuli/images/places/skyway_bridge.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/skyway_bridge.png,,,,,,,,,,,0,2,2,2,1,,,,,,,,
,,,,,,4957749577,maintask,2025-09-12_15h14.27.401,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.2227,391.2212,391.2213,393.2209,393.2226,395.2201,395.2202,399.2194,399.2203,400.07,j,0.7537,,400.0704,405.072,,,,,,faces,places,suppress,NA,right,4,lure,1,5,0,stimuli/images/faces/blake_shelton.png,stimuli/images/places/gherkin.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/gherkin.png,,,,,,,,,,,0,3,3,3,1,,,,,,,,
