stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,probe_keyResp.rt,probe_keyResp.duration,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,rest_continue.rt,rest_continue.duration,Debrief.started,Debrief.stopped,debrief_keyResp.keys,debrief_keyResp.rt,debrief_keyResp.duration
2,0.0004,4.9873,space,4.9642,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,4.9875,28.2393,space,23.1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,28.2394,37.1726,space,8.8131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,37.1728,52.9399,space,15.6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,52.9402,67.6234,space,14.5632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,67.6236,107.6577,space,39.8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,107.658,111.8902,return,4.1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8903,116.8899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8986,118.8902,118.8904,120.8914,120.893,122.8909,122.8911,126.8911,126.8918,128.8249,j,1.8855,,128.8255,132.8247,0,0,0,1,1,faces,fruits,maintain,,left,prac_2,novel,practice,4,0,stimuli/images/faces/sandra_bullock.png,stimuli/images/fruits/fresh_red_apple.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/pear04.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.8261,134.8246,134.8247,136.8245,136.8252,138.8246,138.8247,142.8247,142.8253,144.7913,f,1.9453,,144.7915,149.7914,0,1,1,5,1,places,faces,replace,fruits,right,prac_6,replacement,practice,5,0,stimuli/images/places/japanese_castle.png,stimuli/images/faces/queen_elizabeth_with_crown.png,stimuli/images/fruits/half_apple.png,stimuli/images/fruits/half_apple.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.7922,151.7906,151.7906,153.7915,153.7922,155.7915,155.7916,159.7913,159.7916,160.6907,f,0.8674,,160.6909,163.6917,0,2,2,0,1,faces,places,maintain,,left,prac_1,cued,practice,3,0,stimuli/images/faces/michael_phelps.png,stimuli/images/places/river_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/michael_phelps.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.6928,165.6911,165.6911,167.6921,167.693,169.6917,169.6918,173.6919,173.6926,174.8419,j,1.0433,,174.8422,178.842,0,3,3,4,1,fruits,places,replace,faces,left,prac_5,novel,practice,4,0,stimuli/images/fruits/sliced_honeydew.png,stimuli/images/places/supreme_court.png,stimuli/images/faces/willie_nelson.png,stimuli/images/fruits/apple03a.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.8433,180.8422,180.8423,182.8422,182.8428,184.8413,184.8414,188.8423,188.8428,189.9254,f,1.0113,,189.9257,192.9255,0,4,4,2,1,places,fruits,suppress,,right,prac_3,uncued,practice,3,0,stimuli/images/places/pink_sand_beach.png,stimuli/images/fruits/muskmelon02.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/pink_sand_beach.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.9263,194.9258,194.9259,196.9258,196.9264,198.9255,198.9255,202.9249,202.9254,203.5591,j,0.609,,203.5593,208.5593,0,5,5,3,1,fruits,faces,suppress,,right,prac_4,lure,practice,5,0,stimuli/images/fruits/honeydew.png,stimuli/images/faces/maria_sharapova.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/maria_sharapova.png,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.5601,211.7429,space,3.1545,,,,,,,,,,,,,,,,,,,,,
,,,,,,4992149921,maintask,2025-09-17_14h32.34.622,remlure_online,2024.2.2,MacIntel,56.49717514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.7431,220.7099,return,8.94,,,,,,,,,,,,,,,,
