stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,probe_keyResp.rt,probe_keyResp.duration,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,Debrief.started,Debrief.stopped,debrief_keyResp.keys
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.837,952.8354,952.8355,954.8358,954.8364,956.8353,956.8353,960.835,960.8354,962.8344,,962.8346,965.8356,,,,,,fruits,places,replace,faces,right,22,lure,2,3,0,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/places/covered_bridge.png,stimuli/images/faces/ryan_reynolds.png,stimuli/images/places/covered_bridge.png,,,,,,,,,,,,,0,45,45,45,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.8372,967.8355,967.8355,969.8346,969.8351,971.8349,971.8349,975.8354,975.836,977.8351,,977.8354,982.8349,,,,,,fruits,places,maintain,NA,left,23,uncued,2,5,0,stimuli/images/fruits/mixed_grapes02.png,stimuli/images/places/millau_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/millau_bridge.png,,,,,,,,,,,,,0,46,46,46,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.8335,1034.834,982.8363,984.8353,984.8353,986.8345,986.8351,988.835,988.8351,992.8352,992.8358,994.834,,994.8343,999.8341,,,,,,fruits,places,maintain,NA,right,24,novel,2,5,1,stimuli/images/fruits/honeydew_half.png,stimuli/images/places/yellow_sand_beach.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/yellow_sand_kauai.png,,,,,,,,,,,,,0,47,47,47,1,999.835,1029.8335,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.8347,1036.8341,1036.8341,1038.8335,1038.8338,1040.8342,1040.8342,1044.8341,1044.8344,1046.8344,,1046.8349,1051.8341,,,,,,faces,places,replace,fruits,left,1,replacement,3,5,0,stimuli/images/faces/rand_paul.png,stimuli/images/places/cinderella_castle.png,stimuli/images/fruits/mixed_grapes03.png,stimuli/images/fruits/mixed_grapes03.png,,,,,,,,,,,,,0,48,48,48,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.8356,1053.8343,1053.8343,1055.8341,1055.8345,1057.8342,1057.8342,1061.8342,1061.8346,1063.834,,1063.8344,1068.8341,,,,,,faces,places,replace,fruits,right,2,lure,3,5,0,stimuli/images/faces/alex_rodriguez.png,stimuli/images/places/danyang_bridge.png,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/images/places/danyang_bridge.png,,,,,,,,,,,,,0,49,49,49,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068.8358,1070.8333,1070.8333,1072.833,1072.8337,1074.8336,1074.8336,1078.8339,1078.8344,1080.8338,,1080.8341,1084.8334,,,,,,faces,places,maintain,NA,left,3,uncued,3,4,0,stimuli/images/faces/angela_merkel.png,stimuli/images/places/piza.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/piza.png,,,,,,,,,,,,,0,50,50,50,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.8346,1086.8334,1086.8335,1088.8338,1088.8343,1090.8333,1090.8333,1094.8327,1094.8331,1096.8338,,1096.8341,1100.8337,,,,,,faces,places,maintain,NA,right,4,novel,3,4,0,stimuli/images/faces/zoe_saldana.png,stimuli/images/places/alamo.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/black_beach_iceland.png,,,,,,,,,,,,,0,51,51,51,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.835,1102.8338,1102.8338,1104.8335,1104.834,1106.8336,1106.8336,1110.8334,1110.8338,1112.8328,,1112.8333,1116.8328,,,,,,places,faces,suppress,NA,left,5,uncued,3,4,0,stimuli/images/places/harvard.png,stimuli/images/faces/blake_shelton.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/blake_shelton.png,,,,,,,,,,,,,0,52,52,52,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.8344,1118.8334,1118.8334,1120.8331,1120.8336,1122.8333,1122.8334,1126.8322,1126.8324,1128.8327,,1128.833,1131.8332,,,,,,places,faces,suppress,NA,right,6,uncued,3,3,0,stimuli/images/places/royal_albert_hall.png,stimuli/images/faces/rihanna.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/royal_albert_hall.png,,,,,,,,,,,,,0,53,53,53,1,,,,,,
,,,,,,5034650346,maintask,2025-08-27_16h52.40.468,remlure_online,2024.2.2,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131.8347,1133.833,1133.833,1135.8331,1135.8336,1137.8322,1137.8323,1141.8322,1141.8325,1143.8327,,1143.8333,1147.832,,,,,,places,faces,replace,fruits,left,7,novel,3,4,0,stimuli/images/places/mediterranean_beach.png,stimuli/images/faces/lebron.png,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/images/places/mountain_range.png,,,,,,,,,,,,,0,54,54,54,1,,,,,,
