stim_set,Welcome.started,Welcome.stopped,welcome_keyResp.keys,welcome_keyResp.rt,welcome_keyResp.duration,participant,phase,date,expName,psychopyVersion,OS,frameRate,Encode_instruct.started,Encode_instruct.stopped,encode_instruct_keyResp.keys,encode_instruct_keyResp.rt,encode_instruct_keyResp.duration,Oper_screen_instruct.started,Oper_screen_instruct.stopped,operscreen_instruct_keyResp.keys,operscreen_instruct_keyResp.rt,operscreen_instruct_keyResp.duration,Operations_instruct.started,Operations_instruct.stopped,operations_instruct_keyResp.keys,operations_instruct_keyResp.rt,operations_instruct_keyResp.duration,Probe_screen_instruct.started,Probe_screen_instruct.stopped,probescreen_instruct_keyResp.keys,probescreen_instruct_keyResp.rt,probescreen_instruct_keyResp.duration,Probe_instruct.started,Probe_instruct.stopped,probe_instructions_keyResp.keys,probe_instructions_keyResp.rt,probe_instructions_keyResp.duration,Practice_begin.started,Practice_begin.stopped,prac_begin_keyResp.keys,prac_begin_keyResp.rt,prac_begin_keyResp.duration,Trial_prepare.started,Trial_prepare.stopped,Encode.started,Encode.stopped,Delay_2000.started,Delay_2000.stopped,Manipulate.started,Manipulate.stopped,Delay_4000.started,Delay_4000.stopped,Probe.started,Probe.stopped,probe_keyResp.keys,ITI.started,ITI.stopped,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,encode_1_cat,encode_2_cat,operation,replace_cat,cue_position,trial_num,probe_subtype,run_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img,Practice_end.started,Practice_end.stopped,pracend_keyResp.keys,pracend_keyResp.rt,pracend_keyResp.duration,Main_exp_begin.started,Main_exp_begin.stopped,main_exp_begin.keys,main_exp_begin.rt,main_exp_begin.duration,probe_keyResp.rt,probe_keyResp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Rest.started,Rest.stopped,rest_continue.keys,rest_continue.rt,rest_continue.duration,Debrief.started,Debrief.stopped,debrief_keyResp.keys,debrief_keyResp.rt,debrief_keyResp.duration
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976.059,978.0581,978.0582,980.0581,980.0587,982.0581,982.0582,986.0587,986.0592,988.0583,,988.0588,993.0587,,,,,,fruits,places,maintain,NA,left,23,uncued,2,5,0,stimuli/images/fruits/mixed_grapes03.png,stimuli/images/places/cinderella_castle.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/cinderella_castle.png,,,,,,,,,,,,,0,46,46,46,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.7591,1043.759,993.0601,995.0581,995.0581,997.0586,997.0592,999.0583,999.0584,1003.0592,1003.0596,1003.7588,j,1003.7592,1008.7582,,,,,,fruits,places,maintain,NA,right,24,novel,2,5,1,stimuli/images/fruits/cut_cantaloupe.png,stimuli/images/places/mediterranean_beach.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/black_grapes04.png,,,,,,,,,,,0.6798,,0,47,47,47,1,1008.7589,1038.7591,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.7598,1045.7628,1045.7629,1047.7601,1047.7608,1049.76,1049.7601,1053.7602,1053.7609,1054.9958,f,1054.996,1059.993,,,,,,faces,places,replace,fruits,left,1,replacement,3,5,0,stimuli/images/faces/zoe_saldana.png,stimuli/images/places/skyway_bridge.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/images/fruits/gala_apple_leaf.png,,,,,,,,,,,1.2158,,0,48,48,48,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059.9942,1061.9926,1061.9928,1063.9934,1063.9941,1065.9973,1065.9973,1069.9936,1069.9942,1071.18,f,1071.1802,1076.178,,,,,,faces,places,replace,fruits,right,2,lure,3,5,0,stimuli/images/faces/brad_pitt.png,stimuli/images/places/piza.png,stimuli/images/fruits/pear03.png,stimuli/images/places/piza.png,,,,,,,,,,,1.1667,,0,49,49,49,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.1789,1078.1767,1078.1768,1080.177,1080.1774,1082.1769,1082.1769,1086.177,1086.1775,1087.4936,j,1087.4939,1091.4937,,,,,,faces,places,maintain,NA,left,3,uncued,3,4,0,stimuli/images/faces/penelope_cruz.png,stimuli/images/places/danyang_bridge.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/danyang_bridge.png,,,,,,,,,,,1.2971,,0,50,50,50,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.4947,1093.494,1093.494,1095.494,1095.4945,1097.4932,1097.4932,1101.4939,1101.4943,1102.0107,j,1102.011,1106.0107,,,,,,faces,places,maintain,NA,right,4,novel,3,4,0,stimuli/images/faces/aaron_rodgers.png,stimuli/images/places/mount_everest.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/peyton_manning.png,,,,,,,,,,,0.4936,,0,51,51,51,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.0123,1108.0104,1108.0105,1110.0107,1110.0115,1112.0106,1112.0107,1116.0109,1116.0115,1116.5773,f,1116.5776,1120.5777,,,,,,places,faces,suppress,NA,left,5,uncued,3,4,0,stimuli/images/places/distant_mountains.png,stimuli/images/faces/george_clooney.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/george_clooney.png,,,,,,,,,,,0.5518,,0,52,52,52,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.579,1122.5777,1122.5778,1124.5778,1124.5783,1126.5777,1126.5778,1130.5778,1130.5784,1131.178,f,1131.1783,1134.1778,,,,,,places,faces,suppress,NA,right,6,uncued,3,3,0,stimuli/images/places/matterhorn.png,stimuli/images/faces/macklemore.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/matterhorn.png,,,,,,,,,,,0.5404,,0,53,53,53,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.179,1136.1782,1136.1782,1138.178,1138.1787,1140.1785,1140.1786,1144.1784,1144.1791,1145.062,j,1145.0622,1149.0621,,,,,,places,faces,replace,fruits,left,7,novel,3,4,0,stimuli/images/places/royal_albert_hall.png,stimuli/images/faces/rand_paul.png,stimuli/images/fruits/honeydew_half.png,stimuli/images/faces/bill_clinton.png,,,,,,,,,,,0.7787,,0,54,54,54,1,,,,,,,,,,
,,,,,,5003750037,maintask,2025-08-27_20h59.40.902,remlure_online,2024.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.0633,1151.062,1151.062,1153.0619,1153.0626,1155.062,1155.0621,1159.0614,1159.062,1159.9119,j,1159.9123,1163.912,,,,,,places,faces,replace,fruits,right,8,lure,3,4,0,stimuli/images/places/harvard.png,stimuli/images/faces/abby_wambach.png,stimuli/images/fruits/mixed_grapes05.png,stimuli/images/faces/abby_wambach.png,,,,,,,,,,,0.8305,,0,55,55,55,1,,,,,,,,,,
